Código Tarifa;Código Propio;Descripción;Valor
786935;786935;EXTRACCION DE DISPOSITIVO IMPLANTADO EN COLUMNA VERTEBRAL, VIA POSTERIOR;1176600
786936;786936;EXTRACCION DE CUERPO EXTRAÑO EN COLUMNA VERTEBRAL O TEJIDO PARAVERTEBRAL VIA POSTERIOR;1477000
790100;790100;REDUCCION CERRADA DE FRACTURA SIN FIJACION INTERNA DE ESCAPULA, CLAVICULA O TORAX (COSTILLAS O ESTERNON) SOD;388400
790200;790200;REDUCCION CERRADA DE FRACTURA SIN FIJACION INTERNA DE HUMERO SOD;910800
790301;790301;REDUCCION CERRADA SIN FIJACION DE FRACTURA DE RADIO Y CUBITO (RADIOCUBITAL PROXIMAL O DISTAL);910800
790302;790302;REDUCCION CERRADA DE FRACTURA SIN FIJACION INTERNA DE CUBITO O RADIO;910800
790401;790401;REDUCCION CERRADA DE FRACTURA SIN FIJACION DE FRACTURA DE HUESOS DEL CARPO (UNO O MAS);660700
790402;790402;REDUCCION CERRADA DE FRACTURA SIN FIJACION DE FRACTURA DE METACARPIANOS (UNO O MAS);660700
790500;790500;REDUCCION CERRADA DE FRACTURA DE FEMUR SIN FIJACION INTERNA SOD;1293200
790600;790600;REDUCCION CERRADA DE FRACTURA SIN FIJACION INTERNA DE ROTULA SOD;660700
790703;790703;REDUCCION CERRADA DE FRACTURA DE TIBIA;1293200
790704;790704;REDUCCION CERRADA DE FRACTURA DE PERONE;1293200
790801;790801;REDUCCION CERRADA SIN FIJACION INTERNA FRACTURA TARSO O METATARSO;910800
790901;790901;REDUCCION CERRADA DE FRACTURA SIN FIJACION INTERNA DE FALANGES DE MANO (UNA O MAS);660700
790902;790902;REDUCCION CERRADA DE FRACTURA SIN FIJACION INTERNA DE FALANGES DE PIE (UNA O MAS);522100
790920;790920;REDUCCION CERRADA DE FRACTURA SIN FIJACION INTERNA DE FRACTURA DE HUESOS PELVIANOS;910800
790931;790931;REDUCCION CERRADA DE FRACTURA DE COLUMNA CERVICAL E INMOVILIZACION CON DISPOSITIVO;2673100
790932;790932;REDUCCION CERRADA DE FRACTURA COLUMNA VERTEBRAL (DORSAL O LUMBAR) E INMOVILIZACION;1176600
790933;790933;REDUCCION CERRADA DE FRACTURA DE SACRO O SACROILIACA O COCCIGEA;388380
791201;791201;REDUCCIÓN INDIRECTA DE FRACTURA CON FIJACIÓN INTERNA DE HÚMERO (EPÍFISIS O DIÁFISIS), PERCUTÁNEA CON PINES;910800
791301;791301;REDUCCION INDIRECTA DE FRACTURA DE CUBITO O RADIO CON FIJACION;910800
791702;791702;REDUCCION INDIRECTA DE FRACTURAS OSTEOCONDRALES O DE LA ESPINA TIBIAL CON FIJACION INTERNA VIA ARTROSCOPICA;1970700
792101;792101;REDUCCION ABIERTA SIN FIJACION INTERNA DE FRACTURA DE UNA O MAS COSTILLAS;1176600
792102;792102;REDUCCION ABIERTA SIN FIJACION INTERNA DE FRACTURA DE ESCAPULA O CLAVICULA;910800
792200;792200;REDUCCION ABIERTA DE FRACTURA SIN FIJACION INTERNA DE HUMERO SOD;1176600
792301;792301;REDUCCION ABIERTA DE FRACTURA SIN FIJACION INTERNA DE RADIO O CUBITO;1176600
792302;792302;REDUCCION ABIERTA DE FRACTURA SIN FIJACION INTERNA DE RADIO Y CUBITO;1176600
792401;792401;REDUCCION ABIERTA SIN FIJACION DE FRACTURA DE HUESO DEL CARPO O METACARPO;1970700
792500;792500;REDUCCION ABIERTA DE FRACTURA DE FEMUR SIN FIJACION INTERNA SOD;2415700
792600;792600;REDUCCION ABIERTA DE FRACTURA DE ROTULA SIN FIJACION INTERNA SOD;660700
792801;792801;REDUCCION ABIERTA FRACTURA SIN FIJACION INTERNA, DE HUESOS DEL TARSO O METATARSO (UNO O MAS);1176600
792901;792901;REDUCCION ABIERTA DE FRACTURA SIN FIJACION INTERNA DE FALANGES DE MANO;1970700
792902;792902;REDUCCION ABIERTA DE FRACTURA SIN FIJACION INTERNA DE FALANGES DE PIE;910800
792920;792920;REDUCCION ABIERTA DE FRACTURA SIN FIJACION INTERNA DE HUESOS PELVIANOS;2263300
793101;793101;REDUCCION ABIERTA DE FRACTURA CON FIJACION INTERNA (DISPOSITIVOS DE FIJACION U OSTEOSINTESIS) DE CLAVICULA;1176600
793102;793102;REDUCCION ABIERTA DE FRACTURA CON FIJACION INTERNA DE ESCAPULA;910800
793201;793201;REDUCCION ABIERTA DE FRACTURA SUBCAPITAL DE HUMERO CON FIJACION INTERNA (DISPOSITIVOS DE FIJACION U OSTEOSINTESIS);2116600
793204;793204;REDUCCION ABIERTA DE FRACTURA SUPRACONDILEA DE HUMERO CON FIJACION INTERNA (DISPOSITIVOS DE FIJACION U OSTEOSINTESIS);2116600
793206;793206;REDUCCION ABIERTA DE FRACTURA DE EPICONDILO O EPITROCLEA DE HUMERO CON FIJACION INTERNA (DISPOSITIVOS DE FIJACION U OSTEOSINTESIS);2116600
793210;793210;REDUCCION ABIERTA DE FRACTURA EN DIAFISIS DE HUMERO CON FIJACION INTERNA (DISPOSITIVOS DE FIJACION U OSTEOSINTESIS);2116600
793301;793301;REDUCCION ABIERTA DE FRACTURA EN DIAFISIS DE CUBITO O RADIO CON FIJACION INTERNA;1477000
793302;793302;REDUCCION ABIERTA DE FRACTURA EN SEGMENTO PROXIMAL DE CUBITO O DE OLECRANON CON FIJACION INTERNA;1176600
793303;793303;REDUCCION ABIERTA DE FRACTURA EN SEGMENTO DISTAL DE CUBITO O RADIO CON FIJACION INTERNA;1477000
793306;793306;REDUCCION ABIERTA DE FRACTURA EN SEGMENTO DISTAL DE RADIO Y CUBITO CON FIJACION INTERNA;1970700
793307;793307;REDUCCION ABIERTA DE FRACTURA EN DIAFISIS DE CUBITO Y RADIO CON FIJACION INTERNA;1970700
793404;793404;REDUCCION ABIERTA DE FRACTURA DE HUESOS DE CARPO CON FIJACION INTERNA VIA ARTROSCOPICA;1970700
793405;793405;REDUCCION ABIERTA DE FRACTURA DE METACARPIANOS CON FIJACION INTERNA;1970700
793501;793501;REDUCCION ABIERTA DE FRACTURA EN FEMUR (CUELLO, INTERTROCANTERICA, SUPRACONDILEA) CON FIJACION INTERNA (DISPOSITIVOS DE FIJACION U OSTEOSINTESIS);2415700
793502;793502;REDUCCION ABIERTA DE FRACTURA EN DIAFISIS DE FEMUR CON FIJACION INTERNA (DISPOSITIVOS DE FIJACION U OSTEOSINTESIS);2263300
793600;793600;REDUCCION ABIERTA DE FRACTURA EN ROTULA CON FIJACION INTERNA (DISPOSITIVOS DE FIJACION U OSTEOSINTESIS) SOD;660700
793708;793708; REDUCCION ABIERTA DE FRACTURA DE PERONE PROXIMAL CON FIJACION EXTERNA;2263300
793709;793709;REDUCCION ABIERTA DE FRACTURA DE PERONE DIAFISIARIO CON FIJACION INTERNA;2263300
793710;793710;REDUCCION ABIERTA DE FRACTURA DE PERONE DIAFISIARIO CON FIJACION EXTERNA;2263300
793711;793711;REDUCCION ABIERTA DE FRACTURA DE PERONE DISTAL CON FIJACION INTERNA;2263300
793712;793712; REDUCCION ABIERTA DE FRACTURA DE PERONE DISTAL CON FIJACION EXTERNA;1970700
793715;793715;REDUCCION ABIERTA DE FRACTURA DE TIBIA PROXIMAL CON FIJACION EXTERNA;1970700
793716;793716;REDUCCION ABIERTA DE FRACTURA DE TIBIA DIAFISIARIA CON FIJACION INTERNA;1970700
793717;793717; REDUCCION ABIERTA DE FRACTURA DE TIBIA DIAFISIARIA CON FIJACION EXTERNA;1970700
793718;793718; REDUCCION ABIERTA DE FRACTURA DE TIBIA DISTAL CON FIJACION INTERNA;1970700
793920;793920;REDUCCION ABIERTA DE FRACTURA EN PELVIS [ACETABULO, REBORDE ANTERIOR O POSTERIOR] CON FIJACION INTERNA (DISPOSITIVOS DE FIJACION U OSTEOSINTESIS);2263300
793921;793921;REDUCCION ABIERTA DE FRACTURA COMPLEJA EN PELVIS (ACETABULO, REBORDE ANTERIOR, POSTERIOR Y SUPERIOR) CON FIJACION INTERNA (DISPOSITIVOS DE FIJACION U OSTEOSINTESIS);2263300
794601;794601;REDUCCIÓN CERRADA DE EPÍFISIS SEPARADA DE TIBIA O PERONÉ SIN FIJACIÓN;1293200
796201;796201;LAVADO Y DESBRIDAMIENTO DE FRACTURA ABIERTA DE CÚBITO O RADIO;1176600
796400;796400;LAVADO Y DESBRIDAMIENTO DE FRACTURAS EXPUESTAS DE FALANGES EN MANO SOD;1176600
796500;796500;LAVADO Y DESBRIDAMIENTO DE FRACTURA ABIERTA DE FEMUR SOD;1176600
796600;796600;LAVADO Y DESBRIDAMIENTO DE FRACTURA ABIERTA DE TIBIA O PERONE SOD;1176600
796700;796700;LAVADO Y DESBRIDAMIENTO DE FRACTURA ABIERTA DE TARSIANOS O METATARSIANOS SOD;1176600
796800;796800;LAVADO Y DESBRIDAMIENTO DE FRACTURA ABIERTA DE DEDOS DE PIE SOD;1176600
796902;796902;LAVADO Y DESBRIDAMIENTO DE FRACTURA EXPUESTA DE ROTULA;1176600
796903;796903;LAVADO Y DESBRIDAMIENTO DE FRACTURA EXPUESTA DE PELVIS;1176600
796905;796905;LAVADO Y DESBRIDAMIENTO DE FRACTURA ABIERTA DE RAQUIS O COLUMNA;1176600
797100;797100;REDUCCION CERRADA DE LUXACION EN HOMBRO SOD;660700
797200;797200;REDUCCION CERRADA DE LUXACION EN CODO SOD;910800
797300;797300;REDUCCIÓN CERRADA DE LUXACIÓN EN MUÑECA SOD;388391
797401;797401;REDUCCION CERRADA DE LUXACION CARPIANA;1293200
797402;797402;REDUCCION CERRADA DE LUXACION CARPOMETACARPIANA;1970700
797403;797403;REDUCCION CERRADA DE LUXACION METACARPOFALANGICA (UNA O MAS);1477000
797404;797404;REDUCCION CERRADA DE LUXACION INTERFALANGICA (UNA O MAS);1176600
797501;797501;REDUCCION CERRADA DE DISPLASIA O LUXACION CONGENITA DE CADERA (UNI O BILATERAL);2263300
797502;797502;REDUCCION CERRADA DE LUXACION TRAUMATICA DE CADERA;1293200
797602;797602;REDUCCIÓN CERRADA DE LUXACIÓN TIBIOPERONERA PROXIMAL;1293200
797603;797603;REDUCCION CERRADA DE LUXACION TRAUMATICA DE ROTULA;1477000
797701;797701;REDUCCION CERRADA DE LUXACION TRAUMATICA TOBILLO (CUELLO DE PIE);660700
797902;797902;REDUCCION CERRADA DE LUXACION DE SACRO Y COCCIX;388380
798101;798101;REDUCCION ABIERTA DE LUXACION ACROMIOCLAVICULAR;1970700
798102;798102;REDUCCION ABIERTA DE LA LUXACION GLENOHUMERAL;2263300
798106;798106;FIJACION DE ESCAPULA A COSTILLAS [ESCAPULOPEXIA] (TRATAMIENTO DE LA LUXACION CONGENITA DE ESCAPULA ALADA);1970700
798201;798201;REDUCCION ABIERTA DE LUXACION DE LA CABEZA RADIAL;2263288
798403;798403;REDUCCION CON FIJACION DE LUXACION CARPO-METACARPIANA VIA ABIERTA;1970700
798501;798501;REDUCCION ABIERTA DE LUXACION CONGENITA DE CADERA;2220500
798502;798502;REDUCCION ABIERTA DE LUXACION TRAUMATICA DE CADERA;2263300
798602;798602;REDUCCION ABIERTA DE LUXACION DE ROTULA;660700
798701;798701;REDUCCION ABIERTA DE LUXACION DE TOBILLO (TIBIOASTRAGALINA);2263300
799202;799202;REDUCCION CERRADA DE FRACTURA DE CODO;910800
799203;799203;REDUCCION ABIERTA FRACTURA CODO SIN FIJACION INTERNA (DISPOSITIVOS DE FIJACION U OSTEOSINTESIS);1176600
799204;799204;REDUCCION ABIERTA FRACTURA O LUXOFRACTURA CODO CON FIJACION INTERNA (DISPOSITIVOS DE FIJACION U OSTEOSINTESIS);2116600
799301;799301;REDUCCION ABIERTA Y FIJACION DE LUXOFRACTURA DE BENNET;1970700
799302;799302;REDUCCION CERRADA Y FIJACION DE LUXOFRACTURA DE BENNET;910800
799401;799401;REDUCCION ABIERTA CON FIJACION DE FRACTURA INTRAARTICULAR DE MANO (UNA O MAS ARTICULACIONES);1970700
799602;799602;REDUCCION DE LAS FRACTURAS INTRAARTICULARES DE RODILLA CON FIJACION INTERNA POR ARTROSCOPIA;1970700
799701;799701;REDUCCION ABIERTA DE LUXO-FRACTURA TOBILLO SIN FIJACION INTERNA (DISPOSITIVOS DE FIJACION U OSTEOSINTESIS);2263300
799702;799702;REDUCCION CERRADA DE LUXOFRACTURA DE CUELLO DE PIE O TOBILLO;1293200
799703;799703;REDUCCION ABIERTA CON FIJACION DE LUXO FRACTURA O FRACTURA (UNI O BIMALEOLAR) DE TOBILLO;2116600
799704;799704;REDUCCION ABIERTA CON FIJACION DE LUXO FRACTURA TRIMALEOLAR DE TOBILLO;2263300
7DS002;7DS002;DERECHOS DE SALA DE CURACIONES O PROCEDIMIENTOS  - PROCEDIMIENTOS;25463
7DS004;7DS004;DERECHOS DE SALA DE PROCEDIMIENTOS ENDOSCOPICOS;131133
800101;800101;EXTRACCION DE DISPOSITIVO IMPLANTADO EN HOMBRO POR ARTROTOMIA;660700
800102;800102;EXTRACCION DE CUERPO EXTRAÑO INTRAARTICULAR EN HOMBRO POR ARTROTOMIA;660700
800202;800202;EXTRACCION DE CUERPO EXTRAÑO INTRAARTICULAR EN CODO POR ARTROTOMIA;1176600
800302;800302;EXTRACCION DE CUERPO EXTRAÑO INTRAARTICULAR EN MUÑECA POR ARTROTOMIA;910800
800502;800502;EXTRACCION DE CUERPO EXTRAÑO INTRAARTICULAR EN CADERA POR ARTROTOMIA;1970700
800601;800601;EXTRACCION DE DISPOSITIVO IMPLANTADO EN RODILLA POR ARTROTOMIA;388400
800602;800602;EXTRACCION DE CUERPO EXTRAÑO INTRAARTICULAR EN RODILLA POR ARTROTOMIA;1176600
800702;800702;EXTRACCION DE CUERPO EXTRAÑO INTRAARTICULAR EN TOBILLO POR ARTROTOMIA;910800
800802;800802;EXTRACCION DE CUERPO EXTRAÑO EN PIE O ARTEJOS POR ARTROTOMIA;660700
801101;801101;ARTROTOMIA DE HOMBRO CON EXPLORACION DE ARTICULACION ACROMIOCLAVICULAR O ESTERNO CLAVICULAR;1293200
801200;801200;ARTROTOMIA DE CODO SOD;1176600
801300;801300;ARTROTOMIA DE MUÑECA SOD;910800
801400;801400;ARTROTOMIA EN MANO SOD;910800
801600;801600;ARTROTOMIA DE RODILLA SOD;1176600
801700;801700;ARTROTOMIA DE TOBILLO O CUELLO DE PIE SOD;910800
801800;801800;ARTROTOMIA EN PIE SOD;660700
802601;802601;ARTROSCOPIA DIAGNOSTICA DE RODILLA;660700
803101;803101;BIOPSIA ARTICULAR DE HOMBRO VIA ABIERTA;522100
804101;804101;DIVISION DE CAPSULA, LIGAMENTO O CARTILAGO ARTICULAR DE HOMBRO POR ARTROSCOPIA;2263288
804301;804301;CAPSULOTOMIA METACARPOFALANGICA (UNA O MAS);1477000
804302;804302;CAPSULOTOMIA INTERFALANGICA (UNA O MAS);1477000
804303;804303;DESBRIDAMIENTO DE FIBROCARTILAGO TRIANGULAR O EXTRACCION DE CUERPO EXTRAÑO EN MUÑECA POR ARTROSCOPIA;1176600
804310;804310;LIBERACION DE BANDAS CONSTRICTIVAS;1176600
804802;804802;CORRECCION DE VARO METATARSIANO O PIE ADUCTO [HEYMAN-HERNDON-STRONG];2263288
806101;806101;MENISCECTOMIA SIMPLE MEDIAL O LATERAL DE RODILLA VIA ABIERTA;1293200
806104;806104;MENISCECTOMIA MEDIAL Y LATERAL POR ARTROSCOPIA;2415700
807101;807101-1;SINOVECTOMIA DE HOMBRO PARCIAL VIA ABIERTA;1970700
807101;807101-2;SINOVECTOMÍA DE HOMBRO PARCIAL VÍA ABIERTA;1970700
807201;807201;SINOVECTOMIA DE CODO PARCIAL VIA ABIERTA;1970700
807401;807401;SINOVECTOMIA INTERFALANGICA (UNA O MAS) VIA ABIERTA;1176600
807402;807402;SINOVECTOMIA EN CARPO VIA ABIERTA;1293200
807403;807403;SINOVECTOMIA METACARPOFALANGICA (UNA O MAS) VIA ABIERTA;1176600
807404;807404;SINOVECTOMIA DE FALANGES (UNA O MAS) POR ARTROSCOPIA;1176600
807602;807602;SINOVECTOMIA DE RODILLA TOTAL VIA ABIERTA;1477000
808011;808011;DESBRIDAMIENTO, LAVADO Y LIMPIEZA DE ARTICULACION DE HOMBRO VIA ABIERTA;1176600
808012;808012;DESBRIDAMIENTO, LAVADO Y LIMPIEZA DE ARTICULACION DE HOMBRO POR ARTROSCOPIA;1176600
808021;808021;DESBRIDAMIENTO, LAVADO Y LIMPIEZA DE ARTICULACION DE CODO VIA ABIERTA;1176600
808022;808022;DESBRIDAMIENTO, LAVADO Y LIMPIEZA DE ARTICULACION DE CODO POR ARTROSCOPIA;1176600
808031;808031;DESBRIDAMIENTO, LAVADO Y LIMPIEZA DE ARTICULACION DE MUÑECA O PUÑO VIA ABIERTA;1176600
808032;808032;DESBRIDAMIENTO, LAVADO Y LIMPIEZA DE ARTICULACION DE MUÑECA POR ARTROSCOPIA;1176600
808041;808041;DESBRIDAMIENTO, LAVADO Y LIMPIEZA DE ARTICULACION EN MANO O DEDOS VIA ABIERTA;1176600
808042;808042;DESBRIDAMIENTO, LAVADO Y LIMPIEZA DE ARTICULACION EN MANO O DEDOS POR ARTROSCOPIA;1176600
808051;808051;DESBRIDAMIENTO, LAVADO Y LIMPIEZA DE ARTICULACION DE CADERA VIA ABIERTA;1176600
808061;808061;DESBRIDAMIENTO, LAVADO Y LIMPIEZA DE RODILLA VÍA ABIERTA;1176600
808062;808062;LAVADO O DESBRIDAMIENTO DE RODILLA POR ARTROSCOPIA;1176600
808204;808204;REMOCION DE PLICAS DE CODO POR ARTROSCOPIA;1176600
808502;808502;EXTRACCION DE CUERPOS LIBRES INTRA-ARTICULARES DE CADERA POR ARTROSCOPIA;2116559
808601;808601;RESECCION DE HIGROMA DE RODILLA VIA ABIERTA;910739
808604;808604;RESECCION DE PLICAS DE RODILLA POR ARTROSCOPIA;910739
808704;808704;RESECCION DE LESION OSTEOCONDRAL EN TOBILLO SIN INJERTO VIA ARTROSCOPICA;2263288
810106;810106;ARTRODESIS C1-C2 MEDIANTE TECNICA TRANSORAL ANTERIOR SIN INSTRUMENTACION;4417800
812200;812200;ARTRODESIS DE RODILLA SOD;2220500
812301;812301;ARTRODESIS DE HOMBRO VIA ABIERTA;2263300
812401;812401;ARTRODESIS RADIOCUBITAL DISTAL;1293200
812601;812601;ARTRODESIS TRAPECIO-METACARPIANO;1293200
812700;812700;ARTRODESIS METACARPO-FALANGICA SOD;1176600
812801;812801;ARTRODESIS INTERFALANGICA EN MANO SIN INJERTO (UNA O MAS);1176600
812802;812802;ARTRODESIS INTERFALANGICA EN MANO CON INJERTO (UNA O MAS);1477000
812903;812903;ARTRODESIS ESCAFOSEMILUNAR POR ARTROSCOPIA;910800
814221;814221;CAPSULORRAFIA DE RODILLA;1293200
814410;814410;REALINEAMIENTO DE ROTULA CON CIRUGIA DE TEJIDOS BLANDOS;1476947
814504;814504;RECONSTRUCCION DE LIGAMENTO CRUZADO ANTERIOR CON INJERTO AUTOLOGO O CON ALOINJERTO POR ARTROSCOPIA;2220500
814601;814601;OTRA CORRECCION LIGAMENTARIA MEDIAL O LATERAL O CAPSULAR;2263288
814705;814705;RELAJACION DE RETINACULO LATERAL, MAS OSTEOTOMIA DE REALINEACION, MAS PLICATURA DE RETINACULO MEDIAL POR ARTROSCOPIA;2415700
814706;814706;RELAJACION DE RETINACULO LATERAL POR ARTROSCOPIA;1176600
814712;814712;SUTURA DE MENISCO MEDIAL O LATERAL, POR ARTROSCOPIA;2263300
814723;814723;LIBERACION DE ADHERENCIAS DE RODILLA POR ARTROSCOPIA;910800
814727;814727;REPARACION AGUDA DE LIGAMENTO CRUZADO;2220500
814907;814907;RECONSTRUCCION PRIMARIA DE LIGAMENTOS DEL TOBILLO VIA ABIERTA;2220500
814911;814911;CAPSULORRAFIA DE TOBILLO;1293200
815401;815401;REEMPLAZO TOTAL DE RODILLA BICOMPARTIMENTAL;2673100
817202;817202;ARTROPLASTIA RESECCION TRAPECIO-METACARPIANA;1477000
817203;817203;ARTROPLASTIA METACARPO-FALANGICA (UNA O MAS);2116600
817204;817204;LIGAMENTORRAFIA O REINSERCIÓN DE LIGAMENTOS VÍA ABIERTA;1970700
817207;817207;CONDROPLASTIA DE ABRASION DE FALANGES POR ARTROSCOPIA;1176600
817208;817208;ARTROPLASTIA RADIOCARPIANA (MUÑECA O PUÑO);2263300
817901;817901;ARTROPLASTIAS INTERFALANGICAS (POR CADA DEDO);2116600
818010;818010;REEMPLAZO PROTESICO PRIMARIO TOTAL DE HOMBRO;2673100
818301;818301;ACROMIOPLASTIA VIA ABIERTA;1477000
818302;818302;ACROMIOPLASTIA POR ARTROSCOPIA;1477000
818307;818307;REPARACION DE HOMBRO POR ARTROSCOPIA;2116559
819101;819101;ASPIRACION ARTICULAR;1176600
819310;819310;CAPSULORRAFIA DE HOMBRO POR ARTROSCOPIA;1293200
819330;819330;SUTURA DEL FIBROCARTILAGO TRIANGULAR O DE LIGAMENTOS INTERCARPIANOS VIA ARTROSCOPICA;1477000
819331;819331;CAPSULORRAFIA ARTICULAR EN MUÑECA VÍA ABIERTA;1293200
819520;819520;REPARACIÓN O RECONSTRUCCIÓN DEL TENDÓN ROTULIANO;660643
820200;820200;MIOTOMIA DE MANO SOD;522100
821101;821101;TENOTOMIA DE MANO PALMAR;388400
821200;821200;FASCIOTOMIA DE MANO SOD;910800
822101;822101;RESECCION DE GANGLION EN DEDOS DE MANO;910800
822201;822201;ESCISION DE TUMOR BENIGNO EN MUSCULO DE MANO;910800
823301;823301;TENOSINOVECTOMIA EN EXTENSORES DE MANO (UNO O MAS);910800
823303;823303;TENOSINOVECTOMIA FLEXORES MANO (UNO O MAS);1970700
823307;823307;TENOSINOVECTOMIA [TIPO ENFERMEDAD DE QUERVAIN];910800
823501;823501;ESCISION DE APONEUROSIS EN MANO;2263300
824201;824201;TENORRAFIA DE FLEXORES DE DEDOS (CADA UNO) CON NEURORRAFIA;2220500
824211;824211;TENORRAFIA DE FLEXORES DE MANO (UNO O MÁS) CON NEURORRAFIA Y VASCULARIZACIÓN  ;2220500
824215;824215;TENORRAFIA DE FLEXORES DE MANO (UNO O MAS) SIN NEURORRAFIA;2673100
824301;824301;TENORRAFIA DE EXTENSORES DE DEDOS (CADA UNO);1477000
824321;824321;TENORRAFIA DE EXTENSORES DE MANO (UNO O MAS);1477000
824611;824611;MIORRAFIA DE FLEXORES DE MANO (UNO O MAS);1176600
825301;825301;TRANSFERENCIA TENDON MANO Y PUÑO (UNO O MAS);2263288
825306;825306;REINSERCION DE TENDON EN MANO (UNO O MAS);1970700
825501;825501;ALARGAMIENTO DE TENDON EN MANO (UNO O MAS);1176600
826100;826100;PULGARIZACION O POLICITACION CON SUMINISTRO NEUROVASCULAR SOD;2415700
827102;827102;INJERTO DE TENDON DE FLEXOR DE UN DEDO CON RECONSTRUCCION DE POLEAS;2220576
827901;827901;INJERTO DE TENDON EXTENSOR DE MANO O DEDOS (UNO O MAS);1293200
827902;827902;INJERTO DE TENDON FLEXOR DE MANO O DEDOS (UNO O MAS);2116600
827910;827910;INJERTO TENDINOSO CON IMPLANTE EN DEDOS DE LA MANO (CADA UNO);2220500
828101;828101;TRASPOSICION DE DEDO;2415700
828102;828102;TRASPLANTE DE ARTEJO A MANO;4417800
828200;828200;REPARACION DE DEFORMIDADES CONGENITAS DE LA MANO SOD;2263300
828302;828302;CORRECCION DE SINDACTILIA SIMPLE (UNO O MAS ESPACIOS);1293200
828310;828310;CORRECCION QUIRURGICA DE LA MACRODACTILIA;2263300
828320;828320;CORRECCION SIMPLE DE CAMPTODACTILIA (UNO O MAS DEDOS);1293200
828340;828340;CORRECCION QUIRURGICA DE CLINODACTILIA (UNO O MAS DEDOS);910800
828351;828351;CORRECCION DE POLIDACTILIA CON ESCISION SIMPLE;910800
828355;828355;CORRECCION DE ACORTAMIENTO Y ARQUEAMIENTO DE RADIO Y CUBITO [DEFORMIDAD DE MADELUNG];2263300
828401;828401;CORRECCION QUIRURGICA DE DEDO EN BOTONERA;2116600
828402;828402;CORRECCION QUIRURGICA DE DEDO EN CUELLO DE CISNE;2116600
828403;828403;CORRECCION QUIRURGICA DE DEDO EN MARTILLO;1293200
828404;828404;CORRECCION QUIRURGICA DE DEDO EN GATILLO [DEDO DE RESORTE];910800
828501;828501;TENODESIS EN MANO (UNO O MAS);910800
829121;829121;TENOLISIS EN EXTENSORES DE MANO (UNO O MAS);1176600
829125;829125;TENOLISIS EN FLEXORES DE MANO (UNO O MAS);1970700
829910;829910;EXTRACCION DE CUERPO EXTRAÑO EN TEJIDOS BLANDOS DE DEDOS DE LA MANO;910739
829912;829912;EXTRACCION DE CUERPO EXTRAÑO EN TEJIDOS BLANDOS DE MANO (EXCEPTO DEDOS);1176669
830101;830101;EXPLORACIÓN DE VAINA DE TENDÓN;660643
830231;830231;MIOTOMIA DEL TEMPORAL;1293200
830232;830232;MIOTOMIA PTERIGOIDEO;1293200
830233;830233;MIOTOMIA DE MASETERO;1293200
831101;831101;TENOTOMIAS EN PIE (UNA O MAS);388400
831450;831450-1;FASCIOTOMIA EN ANTEBRAZO, CON LIBERACION EN CODO Y MUÑECA;910800
831450;831450-2;FASCIOTOMÍA EN ANTEBRAZO, CON LIBERACIÓN EN CODO Y MUÑECA;910800
831451;831451;FASCIOTOMÍA DESCOMPRESIVA DE LA ARTERIA BRAQUIAL;910800
831461;831461;FASCIOTOMÍA EN MUSLO, POR UNA O MÁS INCISIONES;910800
831471;831471-1;FASCIOTOMIA EN PIERNA POR UNA O MÁS INCISIONES;910800
831471;831471-2;FASCIOTOMIA EN PIERNA POR UNA O MÁS INCISIONES;910800
831481;831481;FASCIOTOMÍA EN PIE, UNA O MÁS INCISIONES;910800
831902;831902;LIBERACION DE MUSCULO;1293200
833001;833001;RESECCION DE TUMOR BENIGNO DE FASCIA, MUSCULO, TENDON O SINOVIAL;910800
833101;833101;ESCISION DE GANGLION DE ENVOLTURA DE TENDON, EXCEPTO DE MANO;910800
833201;833201;ESCISION DE MIOSITIS OSIFICANTE;910800
833901;833901;ESCISION DE QUISTE POPLITEO [DE BAKER];910800
834202;834202;TENOSINOVECTOMIA;910739
834950;834950;LIMPIEZA Y DESBRIDAMIENTO QUIRÚRGICOS DE MÚSCULOS, TENDONES Y FASCIA EN PIE;1176600
835100;835100;BURSECTOMIA ABIERTA SOD;910800
836001;836001;SUTURA DE MUSCULO O TENDÓN O FASCIA O APONEUROSIS VÍA ABIERTA;660700
836002;836002;SUTURA DE MUSCULO O TENDÓN O FASCIA O APONEUROSIS VÍA ENDOSCÓPICA;660700
836201;836201;TENORRAFIA DE FLEXORES DE ANTEBRAZO (UNO O MAS);2220500
836301;836301;REPARACION DEL MANGUITO ROTADOR VIA ABIERTA;2263300
837502;837502;TRANSFERENCIAS DE TENDON EN PARALISIS RADIAL;1293200
837601;837601;TRANSFERENCIAS MIOTENDINOSAS DE HOMBRO;1293272
838401;838401;LIBERACION DE MUSCULO TENDON Y FASCIA DE PIE TALO;2263288
838502;838502;ALARGAMIENTO O ACORTAMIENTO DEL TENDON DE AQUILES;1477000
838505;838505;REPARACION DEL TENDON DEL CUADRICEPS CON FIJACION;2116600
838601;838601;CUADRICESPLASTIA ABIERTA;1970700
838602;838602;CUADRICEPLASTIA POR ARTROSCOPIA;1970805
838830;838830;TENODESIS;1293200
839101;839101;LISIS DE ADHERENCIAS DE TENDON [TENOLISIS];660700
839902;839902;EXTRACCION DE CUERPO EXTRAÑO EN TEJIDOS BLANDOS DE BRAZO (MUSCULOS, TENDON, SINOVIAL);910800
840100;840100;AMPUTACION Y DESARTICULACION DE DEDOS DE LA MANO (UNO O MAS) SOD;660700
